cntry,country full name,Laborforce_female,Unemployment_female,eqwrkbg,eqpolbg,eqmgmbg,eqpaybg,eqparep,eqparlv,freinsw,fineqpy
AT,Austria,46.79762399,4.797,4,4,4,3,3,4,4,2
AT,Austria,46.79762399,4.797,5,3,4,5,3,2,4,2
AT,Austria,46.79762399,4.797,6,4,3,5,4,5,2,3
AT,Austria,46.79762399,4.797,6,6,6,6,1,1,2,3
AT,Austria,46.79762399,4.797,2,6,3,4,4,5,2,1
AT,Austria,46.79762399,4.797,3,3,3,6,3,4,3,3
AT,Austria,46.79762399,4.797,6,5,5,4,3,3,3,5
AT,Austria,46.79762399,4.797,2,2,5,3,5,4,2,8
AT,Austria,46.79762399,4.797,6,6,6,6,4,4,2,2
AT,Austria,46.79762399,4.797,6,6,6,6,8,8,1,1
AT,Austria,46.79762399,4.797,4,4,4,2,3,3,3,3
AT,Austria,46.79762399,4.797,6,5,5,6,3,3,4,2
AT,Austria,46.79762399,4.797,5,5,5,6,1,1,2,1
AT,Austria,46.79762399,4.797,4,6,6,6,2,3,2,8
AT,Austria,46.79762399,4.797,4,6,6,6,1,2,3,1
AT,Austria,46.79762399,4.797,3,3,3,5,2,2,2,2
AT,Austria,46.79762399,4.797,3,4,5,6,2,8,2,8
AT,Austria,46.79762399,4.797,2,3,3,4,3,4,3,3
AT,Austria,46.79762399,4.797,6,5,6,6,1,2,2,1
AT,Austria,46.79762399,4.797,5,6,6,6,1,1,1,1
AT,Austria,46.79762399,4.797,5,5,5,5,2,2,3,3
AT,Austria,46.79762399,4.797,2,6,6,6,1,1,4,2
AT,Austria,46.79762399,4.797,6,6,6,6,5,1,2,1
AT,Austria,46.79762399,4.797,1,1,8,5,8,2,3,2
AT,Austria,46.79762399,4.797,4,4,4,3,3,2,3,2
AT,Austria,46.79762399,4.797,4,5,5,6,2,5,2,2
AT,Austria,46.79762399,4.797,5,3,3,6,4,5,3,3
AT,Austria,46.79762399,4.797,4,3,3,4,3,3,4,4
AT,Austria,46.79762399,4.797,6,6,6,6,3,3,3,3
AT,Austria,46.79762399,4.797,6,6,6,6,1,2,3,1
AT,Austria,46.79762399,4.797,4,6,5,6,3,4,4,2
AT,Austria,46.79762399,4.797,3,6,6,6,1,4,1,1
AT,Austria,46.79762399,4.797,3,5,5,5,2,4,2,2
AT,Austria,46.79762399,4.797,4,8,8,6,3,8,3,1
AT,Austria,46.79762399,4.797,3,3,3,3,4,4,4,2
AT,Austria,46.79762399,4.797,5,5,5,6,1,1,4,4
AT,Austria,46.79762399,4.797,3,3,3,4,4,4,3,3
AT,Austria,46.79762399,4.797,1,8,8,5,8,8,8,8
AT,Austria,46.79762399,4.797,4,2,3,5,4,5,3,3
AT,Austria,46.79762399,4.797,4,4,4,4,2,4,4,3
AT,Austria,46.79762399,4.797,6,5,6,6,1,2,2,1
AT,Austria,46.79762399,4.797,3,3,3,6,2,4,3,2
AT,Austria,46.79762399,4.797,5,5,5,6,3,4,4,2
AT,Austria,46.79762399,4.797,6,6,6,6,2,5,3,2
AT,Austria,46.79762399,4.797,2,6,6,6,1,1,2,2
AT,Austria,46.79762399,4.797,3,4,6,6,3,3,2,2
AT,Austria,46.79762399,4.797,2,8,8,8,3,3,4,3
AT,Austria,46.79762399,4.797,4,4,4,5,8,4,4,8
AT,Austria,46.79762399,4.797,4,5,5,5,2,1,1,1
AT,Austria,46.79762399,4.797,4,4,4,5,3,3,3,5
AT,Austria,46.79762399,4.797,4,5,6,6,2,4,2,1
AT,Austria,46.79762399,4.797,6,6,6,6,1,2,1,1
AT,Austria,46.79762399,4.797,3,6,6,6,2,3,3,3
AT,Austria,46.79762399,4.797,4,3,4,6,3,5,4,3
AT,Austria,46.79762399,4.797,3,3,4,5,4,3,2,2
AT,Austria,46.79762399,4.797,5,6,5,5,1,2,1,1
AT,Austria,46.79762399,4.797,4,4,4,4,4,2,3,3
AT,Austria,46.79762399,4.797,5,4,4,4,4,4,4,3
AT,Austria,46.79762399,4.797,5,5,5,5,1,3,1,2
AT,Austria,46.79762399,4.797,8,4,4,5,8,5,2,3
AT,Austria,46.79762399,4.797,3,6,6,6,3,1,2,2
AT,Austria,46.79762399,4.797,6,3,4,6,4,5,2,3
AT,Austria,46.79762399,4.797,4,6,5,5,1,4,1,1
AT,Austria,46.79762399,4.797,6,5,5,6,1,5,4,2
AT,Austria,46.79762399,4.797,6,6,6,6,1,1,1,1
AT,Austria,46.79762399,4.797,8,6,6,8,2,2,1,1
AT,Austria,46.79762399,4.797,6,6,6,6,3,3,1,1
AT,Austria,46.79762399,4.797,6,3,4,8,1,1,3,1
AT,Austria,46.79762399,4.797,6,8,6,6,8,1,8,8
AT,Austria,46.79762399,4.797,3,3,3,3,5,2,2,3
AT,Austria,46.79762399,4.797,5,2,2,5,4,5,2,3
AT,Austria,46.79762399,4.797,3,8,3,4,3,5,3,3
AT,Austria,46.79762399,4.797,6,3,3,6,3,5,4,1
AT,Austria,46.79762399,4.797,6,4,3,4,4,5,2,3
AT,Austria,46.79762399,4.797,5,6,6,6,1,3,1,1
AT,Austria,46.79762399,4.797,3,1,1,2,5,5,4,4
AT,Austria,46.79762399,4.797,5,6,6,6,1,4,2,1
AT,Austria,46.79762399,4.797,1,8,8,6,3,5,3,3
AT,Austria,46.79762399,4.797,5,6,5,6,1,4,2,2
AT,Austria,46.79762399,4.797,6,6,6,6,3,5,3,3
AT,Austria,46.79762399,4.797,3,6,6,6,2,4,2,2
AT,Austria,46.79762399,4.797,6,6,6,6,4,5,4,4
AT,Austria,46.79762399,4.797,6,6,6,6,1,3,2,2
AT,Austria,46.79762399,4.797,5,6,6,6,1,4,2,3
AT,Austria,46.79762399,4.797,6,6,6,6,1,1,1,1
AT,Austria,46.79762399,4.797,3,6,6,4,2,3,2,2
AT,Austria,46.79762399,4.797,3,5,5,5,1,4,2,1
AT,Austria,46.79762399,4.797,3,3,3,4,3,4,2,1
AT,Austria,46.79762399,4.797,4,5,4,5,3,4,2,3
AT,Austria,46.79762399,4.797,5,3,4,5,4,5,3,3
AT,Austria,46.79762399,4.797,4,4,4,4,4,3,8,4
AT,Austria,46.79762399,4.797,6,6,6,6,1,2,3,2
AT,Austria,46.79762399,4.797,8,5,5,6,2,5,3,3
AT,Austria,46.79762399,4.797,2,3,2,3,3,4,2,2
AT,Austria,46.79762399,4.797,6,6,6,6,4,2,1,2
AT,Austria,46.79762399,4.797,5,6,5,6,1,3,1,1
AT,Austria,46.79762399,4.797,2,3,3,4,3,8,8,2
AT,Austria,46.79762399,4.797,6,6,6,6,5,5,4,1
AT,Austria,46.79762399,4.797,2,3,6,6,4,1,4,1
AT,Austria,46.79762399,4.797,3,3,3,3,5,4,3,4
AT,Austria,46.79762399,4.797,4,3,5,5,3,3,5,3
AT,Austria,46.79762399,4.797,5,6,5,6,2,3,2,3
AT,Austria,46.79762399,4.797,6,6,6,6,3,1,3,1
AT,Austria,46.79762399,4.797,3,5,4,4,2,4,2,2
AT,Austria,46.79762399,4.797,6,6,6,3,3,3,2,1
AT,Austria,46.79762399,4.797,8,6,6,6,3,4,3,2
AT,Austria,46.79762399,4.797,6,6,6,6,5,4,1,1
AT,Austria,46.79762399,4.797,5,5,5,6,3,3,3,3
AT,Austria,46.79762399,4.797,6,6,6,6,7,1,1,1
AT,Austria,46.79762399,4.797,2,3,3,5,3,4,3,3
AT,Austria,46.79762399,4.797,5,7,7,5,7,7,2,2
AT,Austria,46.79762399,4.797,5,5,5,6,2,2,2,2
AT,Austria,46.79762399,4.797,5,3,5,4,4,3,2,1
AT,Austria,46.79762399,4.797,6,6,4,6,2,2,4,2
AT,Austria,46.79762399,4.797,4,3,3,8,8,8,3,3
AT,Austria,46.79762399,4.797,5,6,5,5,2,8,2,8
AT,Austria,46.79762399,4.797,6,4,5,6,2,4,2,1
AT,Austria,46.79762399,4.797,5,6,6,6,1,1,1,1
AT,Austria,46.79762399,4.797,3,4,4,4,3,3,2,2
AT,Austria,46.79762399,4.797,4,4,4,6,3,8,4,3
AT,Austria,46.79762399,4.797,5,6,3,3,1,1,2,3
AT,Austria,46.79762399,4.797,3,5,5,6,1,8,3,1
AT,Austria,46.79762399,4.797,2,3,3,3,3,3,3,4
AT,Austria,46.79762399,4.797,4,4,4,4,2,3,3,3
AT,Austria,46.79762399,4.797,8,5,4,5,3,4,3,3
AT,Austria,46.79762399,4.797,5,5,5,6,2,3,8,2
AT,Austria,46.79762399,4.797,1,1,0,3,4,5,3,4
AT,Austria,46.79762399,4.797,1,3,5,3,1,4,4,4
AT,Austria,46.79762399,4.797,6,6,6,6,1,1,2,2
AT,Austria,46.79762399,4.797,0,0,0,0,5,5,4,4
AT,Austria,46.79762399,4.797,5,6,5,5,2,2,2,1
AT,Austria,46.79762399,4.797,2,5,6,6,1,2,2,4
AT,Austria,46.79762399,4.797,4,5,4,6,3,3,3,2
AT,Austria,46.79762399,4.797,6,5,5,6,2,2,4,1
AT,Austria,46.79762399,4.797,5,6,6,6,2,2,4,2
AT,Austria,46.79762399,4.797,6,6,6,6,1,2,1,1
AT,Austria,46.79762399,4.797,6,6,6,6,1,4,4,2
AT,Austria,46.79762399,4.797,6,6,6,6,1,1,3,3
AT,Austria,46.79762399,4.797,2,5,5,6,2,5,3,2
AT,Austria,46.79762399,4.797,5,6,5,6,1,3,1,1
AT,Austria,46.79762399,4.797,6,6,6,6,3,1,2,4
AT,Austria,46.79762399,4.797,4,4,4,4,2,4,3,3
AT,Austria,46.79762399,4.797,5,3,4,5,4,5,3,3
AT,Austria,46.79762399,4.797,6,3,3,6,5,5,5,5
AT,Austria,46.79762399,4.797,8,6,6,6,2,3,2,2
AT,Austria,46.79762399,4.797,3,6,6,6,1,3,1,1
AT,Austria,46.79762399,4.797,2,4,4,4,2,3,3,4
AT,Austria,46.79762399,4.797,3,5,5,5,3,4,3,2
AT,Austria,46.79762399,4.797,6,6,6,6,3,5,2,1
AT,Austria,46.79762399,4.797,6,6,6,6,1,5,1,1
AT,Austria,46.79762399,4.797,3,4,4,6,3,5,2,2
AT,Austria,46.79762399,4.797,6,6,6,6,1,2,2,1
AT,Austria,46.79762399,4.797,5,4,4,4,3,8,4,4
AT,Austria,46.79762399,4.797,3,3,4,6,3,3,2,2
AT,Austria,46.79762399,4.797,4,3,2,4,3,3,3,3
AT,Austria,46.79762399,4.797,2,3,3,5,3,5,3,2
AT,Austria,46.79762399,4.797,3,3,4,5,2,4,2,1
AT,Austria,46.79762399,4.797,6,6,6,6,1,8,2,3
AT,Austria,46.79762399,4.797,5,4,4,6,3,2,2,3
AT,Austria,46.79762399,4.797,2,3,4,6,3,5,2,2
AT,Austria,46.79762399,4.797,4,2,5,4,2,3,3,4
AT,Austria,46.79762399,4.797,4,4,4,6,8,5,2,2
AT,Austria,46.79762399,4.797,6,6,6,6,1,3,2,1
AT,Austria,46.79762399,4.797,4,6,6,6,1,3,1,1
AT,Austria,46.79762399,4.797,5,3,3,5,4,5,2,2
AT,Austria,46.79762399,4.797,6,6,6,6,1,1,1,1
AT,Austria,46.79762399,4.797,6,3,2,5,4,5,2,2
AT,Austria,46.79762399,4.797,6,6,6,6,2,2,2,2
AT,Austria,46.79762399,4.797,5,6,6,6,2,3,3,1
AT,Austria,46.79762399,4.797,1,4,4,5,3,4,1,2
AT,Austria,46.79762399,4.797,3,4,5,4,2,4,2,2
AT,Austria,46.79762399,4.797,4,6,6,6,3,4,3,2
AT,Austria,46.79762399,4.797,6,4,4,4,2,2,2,2
AT,Austria,46.79762399,4.797,3,2,2,2,4,4,8,5
AT,Austria,46.79762399,4.797,3,5,3,5,3,3,4,4
AT,Austria,46.79762399,4.797,5,3,3,3,3,4,4,2
AT,Austria,46.79762399,4.797,3,4,5,6,1,5,3,1
AT,Austria,46.79762399,4.797,6,5,5,5,3,8,3,3
AT,Austria,46.79762399,4.797,3,3,2,2,4,4,3,3
AT,Austria,46.79762399,4.797,3,4,3,6,3,4,4,2
AT,Austria,46.79762399,4.797,5,5,5,5,3,8,3,4
AT,Austria,46.79762399,4.797,5,6,5,5,2,1,2,1
AT,Austria,46.79762399,4.797,5,3,4,6,5,5,2,3
AT,Austria,46.79762399,4.797,6,4,3,6,2,2,2,3
AT,Austria,46.79762399,4.797,2,3,3,3,3,3,3,3
AT,Austria,46.79762399,4.797,2,3,3,3,4,5,2,2
AT,Austria,46.79762399,4.797,6,6,6,6,1,3,1,3
AT,Austria,46.79762399,4.797,6,6,6,6,1,5,1,1
AT,Austria,46.79762399,4.797,5,6,5,6,4,5,5,5
AT,Austria,46.79762399,4.797,5,8,8,6,8,8,8,8
AT,Austria,46.79762399,4.797,6,4,5,6,1,2,3,1
AT,Austria,46.79762399,4.797,4,5,5,6,2,1,2,2
AT,Austria,46.79762399,4.797,6,3,3,6,4,5,2,2
AT,Austria,46.79762399,4.797,4,6,6,6,5,5,5,5
AT,Austria,46.79762399,4.797,3,5,5,4,4,4,3,4
AT,Austria,46.79762399,4.797,3,4,2,4,3,3,4,5
AT,Austria,46.79762399,4.797,0,4,5,4,2,3,2,2
AT,Austria,46.79762399,4.797,3,8,6,6,5,5,4,4
AT,Austria,46.79762399,4.797,3,3,3,4,2,3,3,3
AT,Austria,46.79762399,4.797,4,4,3,6,3,4,4,2
AT,Austria,46.79762399,4.797,3,6,6,6,1,5,1,1
AT,Austria,46.79762399,4.797,4,2,2,5,4,5,2,3
AT,Austria,46.79762399,4.797,6,6,6,6,2,2,1,1
AT,Austria,46.79762399,4.797,6,1,2,6,2,2,4,1
AT,Austria,46.79762399,4.797,6,6,6,6,1,2,1,1
AT,Austria,46.79762399,4.797,2,5,5,8,1,1,5,4
AT,Austria,46.79762399,4.797,8,4,4,5,3,5,2,3
AT,Austria,46.79762399,4.797,4,3,4,6,2,1,1,3
AT,Austria,46.79762399,4.797,6,5,8,5,3,3,2,2
AT,Austria,46.79762399,4.797,3,4,3,4,2,3,2,1
AT,Austria,46.79762399,4.797,4,3,3,4,3,2,5,5
AT,Austria,46.79762399,4.797,5,6,6,6,2,4,3,1
AT,Austria,46.79762399,4.797,5,5,5,6,1,1,1,1
AT,Austria,46.79762399,4.797,4,4,4,6,3,4,2,2
AT,Austria,46.79762399,4.797,5,8,8,5,3,3,2,1
AT,Austria,46.79762399,4.797,4,6,5,5,3,4,3,3
AT,Austria,46.79762399,4.797,4,6,6,4,1,3,2,2
AT,Austria,46.79762399,4.797,6,6,6,6,2,2,2,2
AT,Austria,46.79762399,4.797,6,5,5,6,3,4,4,2
AT,Austria,46.79762399,4.797,4,6,6,6,2,4,2,8
AT,Austria,46.79762399,4.797,2,4,5,5,3,4,4,2
AT,Austria,46.79762399,4.797,4,3,3,4,4,4,1,1
AT,Austria,46.79762399,4.797,6,6,6,6,3,5,2,2
AT,Austria,46.79762399,4.797,3,3,2,3,3,5,2,2
AT,Austria,46.79762399,4.797,3,5,3,4,1,1,3,1
AT,Austria,46.79762399,4.797,5,4,4,5,3,4,4,4
AT,Austria,46.79762399,4.797,5,4,5,6,1,3,3,2
AT,Austria,46.79762399,4.797,6,5,6,6,3,1,3,5
AT,Austria,46.79762399,4.797,1,3,2,6,8,8,1,1
AT,Austria,46.79762399,4.797,2,3,3,6,4,1,1,1
AT,Austria,46.79762399,4.797,3,4,4,5,3,8,4,2
AT,Austria,46.79762399,4.797,5,5,6,5,2,1,1,2
AT,Austria,46.79762399,4.797,3,5,4,3,4,4,4,2
AT,Austria,46.79762399,4.797,3,1,1,3,4,4,3,3
AT,Austria,46.79762399,4.797,5,5,5,4,4,4,4,4
AT,Austria,46.79762399,4.797,5,5,5,5,2,4,3,3
AT,Austria,46.79762399,4.797,1,4,4,5,3,4,2,3
AT,Austria,46.79762399,4.797,1,3,3,4,3,3,3,3
AT,Austria,46.79762399,4.797,6,6,6,6,1,1,1,1
AT,Austria,46.79762399,4.797,5,4,4,6,2,3,3,2
AT,Austria,46.79762399,4.797,5,5,5,5,2,3,3,1
AT,Austria,46.79762399,4.797,3,8,8,8,8,8,4,3
AT,Austria,46.79762399,4.797,2,1,2,3,5,5,4,5
AT,Austria,46.79762399,4.797,3,4,4,4,1,1,4,1
AT,Austria,46.79762399,4.797,3,6,5,5,2,4,2,1
AT,Austria,46.79762399,4.797,3,5,5,6,2,5,2,2
AT,Austria,46.79762399,4.797,4,5,5,5,2,3,2,3
AT,Austria,46.79762399,4.797,3,5,5,0,3,5,3,1
AT,Austria,46.79762399,4.797,2,6,6,6,1,1,1,2
